"model_id","models","RMSE_train","MAE_train","RMSE_test","MAE_test","RMSE_train_escala_original","MAE_train_escala_original","RMSE_test_escala_original","MAE_test_escala_original","times"
11,"MERT all + intercept + slope + quadratic",0.645362166809871,0.510568241004541,2.2327752858935,1.2321739612401,2066458.01005491,232635.001086606,1062793.20709151,203720.264541319,101.471836805344
4,"MERT all + all",0.7016603468222,0.554751158407478,2.20013602920167,1.20103085420923,2097101.12843501,247892.072526346,1805133.0513957,309599.398252979,632.792474269867
3,"MERT all + intercept + slope",0.701698970193218,0.555063523840937,2.20033454710572,1.19909269626763,2098520.03418385,248061.713197657,1806335.27896186,309548.685172044,294.030951023102
9,"Regression Tree",0.70177448363064,0.55483952582655,2.20019562783273,1.20111309507417,2098915.90672934,248026.872316882,1808670.93851704,309938.816341193,0.0302019119262695
12,"MERF all + intercept + slope + quadratic",0.401290150027534,0.319450379650754,2.20376616969265,1.17860813815241,1634091.87199434,165377.090433851,1902449.14653038,268980.008946671,15.1412618160248
10,"Random Forests",0.476342293459316,0.389476111190444,2.22056145965291,1.220262854112,2392960.73569617,228216.388161192,2399389.91557655,336881.717687082,0.12457013130188
5,"MERF time only + intercept",0.917420918232925,0.771324884937618,2.28626154225693,1.33489020089157,5048944.03852832,496364.204862531,2511808.38343386,408611.547447699,131.408643484116
14,"MERF time + intercept + slope + quadratic",0.704597262024494,0.57056023569059,2.18962943932605,1.1759374775877,2812131.80498618,277452.374653663,2585357.5619959,323248.343677782,141.405837059021
13,"MERT time + intercept + slope + quadratic",0.705440272457443,0.570983763338858,2.2006736372042,1.1909613585766,2867385.26191236,280421.847854035,3043575.01244834,354263.942935371,83.16255235672
1,"MERT time only + intercept",0.92259984619036,0.776239686067035,2.27349658495664,1.3400266780076,5377942.58056902,517161.927731721,3211611.43279101,464815.622146866,77.6313486099243
7,"MERF all + intercept + slope",0.425486965643179,0.341645448534263,2.18061894611022,1.18782925979479,1711864.4997109,175580.985314975,3850796.2259914,444090.747442866,53.8400237560272
2,"MERT time only + intercept + slope",0.765364223515134,0.626213345815208,2.17533285395443,1.19679712575701,2981240.61016179,300663.664723532,4370682.33590028,477579.191004452,79.2959547042847
6,"MERF time only + intercept + slope",0.761886294665904,0.622819834023691,2.17881199719605,1.19847640873128,2962900.3782019,301508.102610571,4521920.32355605,485863.732859196,134.846885919571
8,"MERF all + all",0.424118235646703,0.339495095808611,2.19169094226806,1.22075173783875,1614150.30578218,166015.672530355,7139428.99229944,659749.014794664,42.9894139766693
