"model_id","models","RMSE_train","MAE_train","RMSE_test","MAE_test","RMSE_train_escala_original","MAE_train_escala_original","RMSE_test_escala_original","MAE_test_escala_original","times"
11,"MERT all + intercept + slope + quadratic",0.646058010665575,0.510921252904755,2.02871181185023,1.1832882224829,357698.713608734,79667.4620576091,393126.066844364,116789.808717052,285.375110149384
12,"MERF all + intercept + slope + quadratic",0.403608986183606,0.320964313975693,1.99023966934613,1.12916150844719,213499.025859248,48987.7184902913,404107.220214984,119159.904655836,7.56250715255737
13,"MERT time + intercept + slope + quadratic",0.707521662751975,0.572345816777872,1.99882103914806,1.1380860040754,361380.676759537,85889.3333662897,427996.44421449,123632.848345322,79.4719800949097
14,"MERF time + intercept + slope + quadratic",0.706613085985149,0.571944506918507,1.98375728128446,1.12361523577766,358566.157441718,85595.202262219,428849.23113347,121369.489824607,134.440847873688
2,"MERT time only + intercept + slope",0.766967651441535,0.6273233541446,1.97904671672347,1.14238819691148,377788.300136998,93102.9017691097,475095.672793016,124785.558083732,77.661687374115
6,"MERF time only + intercept + slope",0.76346572664316,0.623683994989457,1.98324063116101,1.14438691033438,374628.911449696,92512.2584263708,475841.402446544,124422.680910805,139.188442468643
7,"MERF all + intercept + slope",0.42688030906017,0.342756916496494,1.97746389135577,1.1309919946605,215715.602075953,51320.5745319708,487983.777530486,124083.257544395,49.2104916572571
10,"Random Forests",0.480728287484761,0.392582516063414,1.98878526144709,1.16083501950598,257965.608042108,61126.9295199509,526840.391567675,142293.643913998,0.152360439300537
4,"MERT all + all",0.701733068564866,0.554436236045887,1.99221308639219,1.14673535940826,382580.442299946,86825.0575384412,531454.55302624,137208.4223525,620.565863847733
3,"MERT all + intercept + slope",0.701831711758439,0.554508321430625,1.99226677559816,1.14678427498977,382629.523107803,86840.2718403436,531531.15645986,137230.700551871,281.821953773499
9,"Regression Tree",0.701856750039812,0.554528733928258,1.99229095891461,1.14682094810315,382636.354586613,86843.1610790445,531564.587640375,137241.502321609,0.0314874649047852
8,"MERF all + all",0.426107796953861,0.340263183435467,1.98880033346491,1.16083299906303,223404.646922488,51828.7221151959,553006.56756637,135016.976879109,33.1045508384705
1,"MERT time only + intercept",0.922531208028885,0.775431231127822,2.0515113600858,1.28094599697796,489780.013161533,123179.189514672,659377.382915601,176259.645062141,77.7398836612701
5,"MERF time only + intercept",0.918124612688529,0.771432376642031,2.06832813711488,1.27829066036825,497013.392106328,123623.547012284,668097.435305187,177221.814269778,139.778609514236
